id_number,link,doi,title,year,country,place_name,latitude,longitude,indicator,sub_indicator,study_type,study_duration,nbs_type,nbs_setting,nbs_scale,nbs_effect
1,https://onlinelibrary-wiley-com.elib.tcd.ie/doi/pdfdirect/10.1002/rra.3507, https://doi.org/10.1002/rra.3507,Communicating (nature-based) flood-mitigation schemes using flood-excess volume,2019,UK,Mytholmroyd,53.7305,-1.9817,Water,Flooding,Measurement,Days,Water Structure,Rural,Single,"slow down the flow by increasing flood depths, in places where this is deemed acceptable, thus reducing flood peaks further downstream at critical locations"
1,,,,,France,Biot,43.6294,7.0961,,,,,,,,
2,https://www.actahort.org/books/1215/1215_2.htm,https://doi.org/10.17660/ActaHortic.2018.1215.2,Urban green technologies for energy saving: numerical simulation of heat transfer between green façades and green roofs and the local outdoor environment,2017,Italy,Bologna,44.5075,11.3514,Heat,Thermal Comfort,Modelling,N/A,Green Façade,Urban,Single,"thermal insulation, heat island effect reduction and in general energy saving at building and district scale"
2,,,,,,,,,,,,,Green Roof,,,
3,https://link-springer-com.elib.tcd.ie/content/pdf/10.1007/s11368-020-02731-y.pdf,https://doi.org/10.1007/s11368-020-02731-y,Simplified performance assessment methodology for addressing soil quality of nature-based solutions,2020,France,Nantes,47.2181,-1.5528,Water,Flooding,Measurement,Years,Green Space,Urban,Many,Regulation of local climate and storm water regulation; contribution to urban biodiversity; increase organic carbon concentration; restore soil fertility
3,,,,,France,Nancy,48.6908,6.1825,Other,Ecology,,,Green Roof,,,
3,,,,,Czech Republic,Buštěhrad,50.1553,14.1886,,,,,,,,
4,Assessing allergenicity in urban parks: A nature-based solution to reduce the impact on public health - ScienceDirect (tcd.ie),https://doi.org/10.1016/j.envres.2017.02.015,Assessing allergenicity in urban parks: A nature-based solution to reduce the impact on public health,2017,Spain,Madrid,40.4167,-3.7003,Other,Other,Measurement,N/A,Green Space,Urban,Single,"1.The lack of correlation with other conventional variables used in landscape designs.
2. It can be used as a tool in environmental analysis.
3.Complies with principle of scalability"
5,Cork as a sustainable carbon source for nature-based solutions treating hydroponic wastewaters – Preliminary batch studies - ScienceDirect (tcd.ie),https://doi.org/10.1016/j.scitotenv.2018.08.365,Cork as a sustainable carbon source for nature-based solutions treating hydroponic wastewaters - Preliminary batch studies,2019,Denmark,Aarhus,56.1572,10.2107,Water,Water Quality,Experiment,Days,Other,Urban,Single,"1. Variance on the content of suberin across species.
2.The PZC of cork was between pH 5 and 6."
6, Nature-Based Solution along High-Energy Eroding Sandy Coasts: Preliminary Tests on the Reinstatement of Natural Dynamics in Reprofiled Coastal Dunes (researchgate.net),https://doi.org/10.3390/w11122518,Nature-Based Solution along High-Energy Eroding Sandy Coasts: Preliminary Tests on the Reinstatement of Natural Dynamics in Reprofiled Coastal Dunes,2019,France,Bordeaux,44.8350,-0.5755,Other,Erosion,Experiment,Years,Vegetation,Urban,Single,"1. The interannual variability in vegetation dynamics could affect blowout growth.
2. The area of bare sand landward of the elongated of notches increased and the notch floor remained nonvegetated implying a loss of vegetation cover."
